filename,tokens
utt_0000.wav,97 53 5 33 65 62 51 38 61 45 74 27 64 17 36 17 96 12 79 32 68 90 77 18 39 12 93 9 87 42 60 71 12 45 55 40 78 81 26 70 61 56 66 33 7 70 1 11 92 51 90 85 80 0 78 63 42 31 93 41 90 8 24 72 28 30 18 69 57 11 10 40 65 62 13 38 70 37 90 15 70 42 69 26 77 70 75 36 56
utt_0001.wav,76 49 40 73 37 39 7 0 4 79 5 19 76 21 8 11 86 96 16 19 4 10 89 69 87 50 90 67 35 66 30 27 86 75 53 74 35 57 63 84 82 89 45 10 41 78 14 62 75 80 42
utt_0002.wav,31 2 93 34 14 90 28 47 21 42 54 7 12 18 89 28 5 73 81 68 77 87 9 3 15 81 24 77 73 20 13 84 14 60 93 36 93 39 38 91 15 61 26 93 7 86 2 69 54 79 12 33 8 28 9 82 38 44 55 23 7 64 59 5
utt_0003.wav,12 89 50 25 33 45 93 60 72 21 89 86 26 98 7 86 20 20 43 67 32 15 76 56 85 22 1 60 87 52 72 65 39 83 45 49 84 32 19 71 88 1 58 94 10 42 94 5 69 35 17 30 97 61 45 78 36 86 45 75 81 79 16 91 39 49 95 53 83 10 0 76 24 89 42 20 30 28 81 57 48 90 86 72 53 4 51 89 72 53 98 84 90 5 21 57 8 33 89 20 57 67 62 71 77 96 0 4 63 41 39 59 6 53 24 70
utt_0004.wav,92 16 1 51 86 53 40 0 27 1 91 96 0 86 67 78 12 24 15 77 83 25 38 35 88 23 12 60 50 80 10 2 35 57 14 32 17 83 66 83 82 44 14 19 35 2 5 5 26 87
utt_0005.wav,28 58 81 39 70 26 48 8 54 5 91 82 58 81 55 47 68 37 39 7 0 4 79 5 19 76 21 43 47 91 11 43 99 79 4 5 34 20 19 74 37 46 50 70 16 37 14 61 93 30 6 39 22 66 93 9 38 51 42 38 53 13 12 71 61 60 43 43 15 61 14 89 63
utt_0006.wav,4 38 42 94 87 19 21 80 72 48 81 11 8 10 25 95 28 7 49 1 12 50 71 66 37 57 62 74 91 86 27 54 10 47 28 33 74 99 21 55 24 45 14 8 89 3 67 57 96 86 25 15 63 50 32 26 82 5 27 79 18 13 25 58 48 46 69 19 13 76 62 18 72 51 81 87 54 66 63 86 41 63 63 81 85 25 69 78 28 1 43 90 95 40
utt_0007.wav,4 67 18 32 77 19 48 74 37 91 90 60 8 10 66 5 8 28 16 5 38 1 97 57 42 20 19 83 58 47 64 48 67 64 4 73 11 86 66 97 76 9 95 54 96 26 37 68 76 53 61 49 77 75 29 2 84 0 94 23 38 64 72 32 42 8 63 33 38 98 52 49 49 7 20 82 16 30 36 93 42
utt_0008.wav,4 61 53 18 37 39 7 0 4 79 5 19 76 21 78 59 49 58 6 12 60 99 19 2 4 76 79 16 80 41 13 89 70 83 44 24 49 99 99 62 14 7 78 89 59 78 80
utt_0009.wav,83 15 87 91 79 37 16 49 37 95 87 15 66 24 4 50 56 47 96 24 58 45 80 9 5 5 62 32 3 66 85 72 73 27 29 11 99 80 99 64 89 67 53 64 39 14 18 54 72 54 10 13 53 8 12 53 99 19 93 3 57 55 87 53 3 63 41 92 32 10 45 9 15 45 88 3 44 44 22 1 29 46 9
utt_0010.wav,18 26 0 26 84 86 93 15 95 0 37 47 88 3 77 29 18 23 58 14 61 44 90 33 16 3 26 46 42 60 37 37 70 81 41 23 75 10 13 68 74 39 20 48 18 16 28 40 65 31 30 96 23 37 47 53 84 5 16 76 2 50 9 89 9 16 53 38 70 53 94 18 75 54 38 81 45 10 31 56 80 47 81 67 7 48 52 1 53 93 41 56 26 77 99 84 14 25 12 62 55 10 14 88 19 89 57 51 23 98 53 55 22 31 58 43
utt_0011.wav,18 45 59 80 81 11 61 96 26 37 0 89 57 79 59 0 27 38 14 98 80 38 69 77 19 54 90 96 60 11 86 63 97 29 69 97 51 35 80 2 15 34 85 5 0 32 50 67 74 90 50 56 13 95 32 45 36 96 86 25 76 10 4 9 33 39 68 43 15 67 31 97 20 8 53 37 36 66 17 73 66 80 26 68 13 52 81 69 51 94 99 35 37 56 47 72 80 17 20 15 89 15 48 51 75 59
utt_0012.wav,71 85 38 45 80 60 95 53 27 61 62 88 64 40 63 83 7 56 38 18 95 63 6 79 27 3 45 60 50 1 67 8 87 10 87 94 85 50 0 46 5 14 79 0 34 81 89 37 93 29 18 96 73 36 24 13 55
utt_0013.wav,91 42 49 21 42 53 82 87 55 18 57 90 18 67 40 16 26 23 56 44 49 54 62 49 93 28 25 56 26 75 90 6 49 4 29 81 10 23 46 7 95 81 86 22 29 78 38 78 11 90 65 96 36 98 45 52 58 6 80 89 66 85 83 70 94 55 74 58 62 32 90 60 27 43 34 5 5 6 20 44 0 37 83 0 17 8 54 87 28 77 50 71 28 58 24 43 77 13
utt_0014.wav,10 40 41 68 58 41 32 3 66 5 24 47 10 26 67 44 24 25 32 86 93 94 38 39 66 49 32 61 44 91 30 5 39 70 9 1 58 63 92 56 6 52 63 58 56 15 10 10 30 12 97 19 52 27 56 78 9 54 71 96 50 5 23 31 62 28 16 35 45 40 55 13 71 36 78 69 25 91 37 99 56 65 77 59 68 81 33 34 29 2 15 78 91 12 22 93 53 31 27 36 94 84 0 94 68 65 54 6 15 49 82 34 15 94 72 45 29
utt_0015.wav,84 36 28 94 30 8 66 39 86 41 29 47 80 61 36 74 21 17 1 70 64 41 46 74 81 3 16 50 19 22 65 9 17 97 26 99 63 72 98 89 27 30 93 16 29 97 49 45 77 75 16 80 63 13 78 3 67 76 45 62 58 39 1 28 71 83 20 84 63 94 61 69 40 90 10 33 17 77 51 90 24 40 37 49 7 26 4 40 92 95 31 43 56 85 92 84 84 28 33 44 85 20 39 2 45 73 69 7 93
utt_0016.wav,19 45 2 62 80 7 3 30 5 1 28 83 41 8 7 44 84 54 17 27 57 55 18 45 39 22 83 42 93 95 52 48 1 52 33 68 68 94 87 90 59 97 5 72 15 52 49 21 0 64 17 79 84 65 93 89 18 10 42 30 22 31 2 21 95 87 71 21 91 10 54 76 13 79 80 58 90 19 78 77 5 32 43 94 93 48 3 80 4 63 11 45 37 85 19 58 30 64 45 20 94 96 51 43 34 63 50 1 39 67 36 70 60 4 98 68 73 70 33 87
